,C,solver,penalty,max_iter,score
0,0.1,lbfgs,l2,100,0.9748953974895398
1,0.1,lbfgs,l2,200,0.9748953974895398
2,0.1,lbfgs,l2,500,0.9748953974895398
3,0.1,lbfgs,l2,1000,0.9748953974895398
4,0.1,lbfgs,,100,0.9748953974895398
5,0.1,lbfgs,,200,0.9748953974895398
6,0.1,lbfgs,,500,0.9748953974895398
7,0.1,lbfgs,,1000,0.9748953974895398
8,0.1,liblinear,l1,100,0.7782426778242678
9,0.1,liblinear,l1,200,0.7782426778242678
10,0.1,liblinear,l1,500,0.7782426778242678
11,0.1,liblinear,l1,1000,0.7782426778242678
12,0.1,liblinear,l2,100,0.9748953974895398
13,0.1,liblinear,l2,200,0.9748953974895398
14,0.1,liblinear,l2,500,0.9748953974895398
15,0.1,liblinear,l2,1000,0.9748953974895398
16,0.1,sag,l2,100,0.9748953974895398
17,0.1,sag,l2,200,0.9748953974895398
18,0.1,sag,l2,500,0.9748953974895398
19,0.1,sag,l2,1000,0.9748953974895398
20,0.1,sag,,100,0.9748953974895398
21,0.1,sag,,200,0.9748953974895398
22,0.1,sag,,500,0.9748953974895398
23,0.1,sag,,1000,0.9748953974895398
24,0.25,lbfgs,l2,100,0.9748953974895398
25,0.25,lbfgs,l2,200,0.9748953974895398
26,0.25,lbfgs,l2,500,0.9748953974895398
27,0.25,lbfgs,l2,1000,0.9748953974895398
28,0.25,lbfgs,,100,0.9748953974895398
29,0.25,lbfgs,,200,0.9748953974895398
30,0.25,lbfgs,,500,0.9748953974895398
31,0.25,lbfgs,,1000,0.9748953974895398
32,0.25,liblinear,l1,100,0.9205020920502092
33,0.25,liblinear,l1,200,0.9205020920502092
34,0.25,liblinear,l1,500,0.9205020920502092
35,0.25,liblinear,l1,1000,0.9205020920502092
36,0.25,liblinear,l2,100,0.9748953974895398
37,0.25,liblinear,l2,200,0.9748953974895398
38,0.25,liblinear,l2,500,0.9748953974895398
39,0.25,liblinear,l2,1000,0.9748953974895398
40,0.25,sag,l2,100,0.9748953974895398
41,0.25,sag,l2,200,0.9748953974895398
42,0.25,sag,l2,500,0.9748953974895398
43,0.25,sag,l2,1000,0.9748953974895398
44,0.25,sag,,100,0.9748953974895398
45,0.25,sag,,200,0.9748953974895398
46,0.25,sag,,500,0.9748953974895398
47,0.25,sag,,1000,0.9748953974895398
48,1.0,lbfgs,l2,100,0.9748953974895398
49,1.0,lbfgs,l2,200,0.9748953974895398
50,1.0,lbfgs,l2,500,0.9748953974895398
51,1.0,lbfgs,l2,1000,0.9748953974895398
52,1.0,lbfgs,,100,0.9748953974895398
53,1.0,lbfgs,,200,0.9748953974895398
54,1.0,lbfgs,,500,0.9748953974895398
55,1.0,lbfgs,,1000,0.9748953974895398
56,1.0,liblinear,l1,100,0.9707112970711297
57,1.0,liblinear,l1,200,0.9707112970711297
58,1.0,liblinear,l1,500,0.9707112970711297
59,1.0,liblinear,l1,1000,0.9707112970711297
60,1.0,liblinear,l2,100,0.9748953974895398
61,1.0,liblinear,l2,200,0.9748953974895398
62,1.0,liblinear,l2,500,0.9748953974895398
63,1.0,liblinear,l2,1000,0.9748953974895398
64,1.0,sag,l2,100,0.9748953974895398
65,1.0,sag,l2,200,0.9748953974895398
66,1.0,sag,l2,500,0.9748953974895398
67,1.0,sag,l2,1000,0.9748953974895398
68,1.0,sag,,100,0.9748953974895398
69,1.0,sag,,200,0.9748953974895398
70,1.0,sag,,500,0.9748953974895398
71,1.0,sag,,1000,0.9748953974895398
72,5.0,lbfgs,l2,100,0.9748953974895398
73,5.0,lbfgs,l2,200,0.9748953974895398
74,5.0,lbfgs,l2,500,0.9748953974895398
75,5.0,lbfgs,l2,1000,0.9748953974895398
76,5.0,lbfgs,,100,0.9748953974895398
77,5.0,lbfgs,,200,0.9748953974895398
78,5.0,lbfgs,,500,0.9748953974895398
79,5.0,lbfgs,,1000,0.9748953974895398
