,C,solver,penalty,max_iter,score
0,0.1,lbfgs,l2,100,0.9437962962962962
1,0.1,lbfgs,l2,200,0.9437962962962962
2,0.1,lbfgs,l2,500,0.9437962962962962
3,0.1,lbfgs,l2,1000,0.9437962962962962
4,0.1,liblinear,l1,100,0.8393518518518519
5,0.1,liblinear,l1,200,0.8394444444444444
6,0.1,liblinear,l1,500,0.8394444444444444
7,0.1,liblinear,l1,1000,0.8393518518518519
8,0.1,liblinear,l2,100,0.9389814814814815
9,0.1,liblinear,l2,200,0.9389814814814815
10,0.1,liblinear,l2,500,0.9389814814814815
11,0.1,liblinear,l2,1000,0.9389814814814815
12,0.1,sag,l2,100,0.9457407407407408
13,0.1,sag,l2,200,0.9451851851851852
14,0.1,sag,l2,500,0.945
15,0.1,sag,l2,1000,0.945
16,0.25,lbfgs,l2,100,0.9751851851851852
17,0.25,lbfgs,l2,200,0.9751851851851852
18,0.25,lbfgs,l2,500,0.9751851851851852
19,0.25,lbfgs,l2,1000,0.9751851851851852
20,0.25,liblinear,l1,100,0.8911111111111111
21,0.25,liblinear,l1,200,0.8911111111111111
22,0.25,liblinear,l1,500,0.8911111111111111
23,0.25,liblinear,l1,1000,0.8911111111111111
24,0.25,liblinear,l2,100,0.9693518518518518
25,0.25,liblinear,l2,200,0.9693518518518518
26,0.25,liblinear,l2,500,0.9693518518518518
27,0.25,liblinear,l2,1000,0.9693518518518518
28,0.25,sag,l2,100,0.9762037037037037
29,0.25,sag,l2,200,0.975925925925926
30,0.25,sag,l2,500,0.975925925925926
31,0.25,sag,l2,1000,0.975925925925926
32,1.0,liblinear,l1,100,0.9649074074074074
33,1.0,liblinear,l1,200,0.9649074074074074
34,1.0,liblinear,l1,500,0.9648148148148148
35,1.0,liblinear,l1,1000,0.9649074074074074
36,1.0,liblinear,l2,100,0.9957407407407407
37,1.0,liblinear,l2,200,0.9957407407407407
38,1.0,liblinear,l2,500,0.9957407407407407
39,1.0,liblinear,l2,1000,0.9957407407407407
