,C,loss,max_iter,tol,score
0,0.01,hinge,100,0.001,0.9478703703703704
1,0.01,hinge,100,0.0001,0.9478703703703704
2,0.01,hinge,100,1e-05,0.9478703703703704
3,0.01,hinge,250,0.001,0.9478703703703704
4,0.01,hinge,250,0.0001,0.9478703703703704
5,0.01,hinge,250,1e-05,0.9478703703703704
6,0.01,hinge,500,0.001,0.9478703703703704
7,0.01,hinge,500,0.0001,0.9478703703703704
8,0.01,hinge,500,1e-05,0.9478703703703704
9,0.01,hinge,1000,0.001,0.9478703703703704
10,0.01,hinge,1000,0.0001,0.9478703703703704
11,0.01,hinge,1000,1e-05,0.9478703703703704
12,0.01,hinge,5000,0.001,0.9478703703703704
13,0.01,hinge,5000,0.0001,0.9478703703703704
14,0.01,hinge,5000,1e-05,0.9478703703703704
15,0.01,squared_hinge,100,0.001,0.9592592592592593
16,0.01,squared_hinge,100,0.0001,0.9592592592592593
17,0.01,squared_hinge,100,1e-05,0.9592592592592593
18,0.01,squared_hinge,250,0.001,0.9592592592592593
19,0.01,squared_hinge,250,0.0001,0.9592592592592593
20,0.01,squared_hinge,250,1e-05,0.9592592592592593
21,0.01,squared_hinge,500,0.001,0.9592592592592593
22,0.01,squared_hinge,500,0.0001,0.9592592592592593
23,0.01,squared_hinge,500,1e-05,0.9592592592592593
24,0.01,squared_hinge,1000,0.001,0.9592592592592593
25,0.01,squared_hinge,1000,0.0001,0.9592592592592593
26,0.01,squared_hinge,1000,1e-05,0.9592592592592593
27,0.01,squared_hinge,5000,0.001,0.9592592592592593
28,0.01,squared_hinge,5000,0.0001,0.9592592592592593
29,0.01,squared_hinge,5000,1e-05,0.9592592592592593
30,0.1,hinge,100,0.001,0.9879629629629629
31,0.1,hinge,100,0.0001,0.9879629629629629
32,0.1,hinge,100,1e-05,0.9879629629629629
33,0.1,hinge,250,0.001,0.9879629629629629
34,0.1,hinge,250,0.0001,0.9879629629629629
35,0.1,hinge,250,1e-05,0.9879629629629629
36,0.1,hinge,500,0.001,0.9879629629629629
37,0.1,hinge,500,0.0001,0.9879629629629629
38,0.1,hinge,500,1e-05,0.9879629629629629
39,0.1,hinge,1000,0.001,0.9879629629629629
40,0.1,hinge,1000,0.0001,0.9879629629629629
41,0.1,hinge,1000,1e-05,0.9879629629629629
42,0.1,hinge,5000,0.001,0.9879629629629629
43,0.1,hinge,5000,0.0001,0.9879629629629629
44,0.1,hinge,5000,1e-05,0.9879629629629629
45,0.1,squared_hinge,100,0.001,0.9977777777777778
46,0.1,squared_hinge,100,0.0001,0.9977777777777778
47,0.1,squared_hinge,100,1e-05,0.9977777777777778
48,0.1,squared_hinge,250,0.001,0.9977777777777778
49,0.1,squared_hinge,250,0.0001,0.9977777777777778
50,0.1,squared_hinge,250,1e-05,0.9977777777777778
51,0.1,squared_hinge,500,0.001,0.9977777777777778
52,0.1,squared_hinge,500,0.0001,0.9977777777777778
53,0.1,squared_hinge,500,1e-05,0.9977777777777778
54,0.1,squared_hinge,1000,0.001,0.9977777777777778
55,0.1,squared_hinge,1000,0.0001,0.9977777777777778
56,0.1,squared_hinge,1000,1e-05,0.9977777777777778
57,0.1,squared_hinge,5000,0.001,0.9977777777777778
58,0.1,squared_hinge,5000,0.0001,0.9977777777777778
59,0.1,squared_hinge,5000,1e-05,0.9977777777777778
