,text,class
4995,Ballantrae Golf Club An 18-hole championship course 30 minutes north of Toronto. Includes descriptions of each hole and club facilities. ,Golf
12904,Alpine West Ski and Snowboarding School They offer classes at the Snoqualmie Summit Central in Washington State. ,Winter
6535,"Weston Wing Chun Teaching traditional and applied wing chun in Weston Super Mare, Banwell and Churchill. Includes articles and school related information. [United Kingdom] ",Martial
540,"FanHouse: Toronto Raptors Offers news, schedule, scores, roster and stats. ",Basketball
3323,"Birmingham University Fencing Club Location, practice times, tournament calendar, photographs and contacts. ",Fencing
10229,"Fitness-Model-Advice.com Diet, training, and motivation advice from top female fitness models. ",Strength
5615,"Saskatchewan Junior Hockey League News, schedules, scores, scholarship fund, league directory, partners, statistics, league information, records, links, and merchandise. ",Hockey
3459,"USFA Hawaii Division Provides news and announcements, event calendar, officers, and related links. ",Fencing
8056,"CoTex Located in Beavers Bend, Oklahoma with registration details, a link to lodging information, participant listing and event description. ",Running
10507,Fadzter21: Fadi's Site Discusses his interest in tennis and some of his favorite players and his native country of Lebanon. ,Tennis
11730,VolleyPics.com Offers pictures for sale and information on the top women's volleyball teams all over the world. Site also includes a discussion forum. ,Volleyball
9680,"SUNYAC Women's Softball Season summaries, player highlights and awards, championship details and statistics. ",Softball
5102,VA - Gymnastics Association Official site of Virginia gymnastics. ,Gymnastics
2759,"Woodland park Saddle Club Offers equestrian facilities, meeting and events facilities as well youth programs. Woodland Park ",Equestrian
12409,"Alberta Summer Swimming Association Governing body presents contact information, records and a results database. ",Water
10401,Indian Bodybuilding History Exclusive and rare pictures of India's bodybuilding heritage from 18th century. ,Strength
6580,"International Hapkido Federation Under Grand Master James S. Benko, Ph.D, 9th dan in Taekwondo, Hapkido, Shim Soo Do(Korean swordsmanship), Han Kuk Mu Ki Do(traditional korean weapons)and black belt ranks in several other martial arts. Includes history, memberships, video, books, audio, articles, animated techniques, seminars and related links. Based in Grand Blanc, Michigan. ",Martial
5170,"FLYTZ USA Gymnastics, Inc. Facility information and pictures, program details, scores, news, links. Located in Cuyahoga Falls. ",Gymnastics
571,Indiana State Men's Basketball The Sycamores' official site. ,Basketball
10195,"Flex News, information and photos from the world of bodybuilding complete with expert advice on training and nutrition. ",Strength
12423,Ultimate Windsurfing Pictures Contains links to windsurfing pictures and movies. ,Water
1863,"Lancaster Park Woolston Cricket Club (LPWCC) Club with men's, women's and junior sections provides news and information on teams, results, players and club history. Garrick Park in Woolston Christchurch. ",Cricket
5982,"Wikipedia: Johnny Bower Retired NHL goal tender from Canada, includes career information, statistics, awards, photograph, and biography. ",Hockey
7391,"Grove Creek Raceway Facility offers a 1/8 mile NHRA sanctioned drag strip and a 3/8 mile WISSOTA sanctioned dirt oval. Schedule, classifieds, photo gallery, multimedia and point standings. ",Motorsports
9383,"Rutgers University Women's Soccer The official site of the Scarlet Knights with news, schedule, roster, standings, statistics, history, facilities, camp, and coaching staff. ",Soccer
10356,"Odd Haugen Source for strongman competition and events, spanning the U.S. and the world. ",Strength
2367,"The Cleveland Area Mountain Bike Association Trail building, group rides, and mountain bicycling advocacy in Northeast Ohio. CAMBA works hard to gain access to existing trails and build new trails in the Cleveland area. ",Cycling
7680,"Team Insane Tournament team based in South Auckland. Contains articles, upcoming events, roster, and photo gallery. ",Paintball
530,"BGSU Men's Basketball Official site of the Falcons including current schedule, roster, results, releases, and statistics and archives. ",Basketball
3260,"The Fencing Center of San Jose Location, classes, competitive results for club members and related fencing links. ",Fencing
9216,"FansFC: Luton Town News, views, comments, match reports, ground guide, and a forum. ",Soccer
