,C,solver,penalty,max_iter,score
0,0.1,lbfgs,l2,100,0.8773684210526316
1,0.1,lbfgs,l2,200,0.8773684210526316
2,0.1,lbfgs,l2,500,0.8773684210526316
3,0.1,lbfgs,l2,1000,0.8773684210526316
4,0.1,liblinear,l1,100,0.6230263157894737
5,0.1,liblinear,l1,200,0.6230263157894737
6,0.1,liblinear,l1,500,0.6230263157894737
7,0.1,liblinear,l1,1000,0.6230263157894737
8,0.1,liblinear,l2,100,0.8647368421052631
9,0.1,liblinear,l2,200,0.8647368421052631
10,0.1,liblinear,l2,500,0.8647368421052631
11,0.1,liblinear,l2,1000,0.8647368421052631
12,0.1,sag,l2,100,0.8807894736842106
13,0.1,sag,l2,200,0.8793421052631579
14,0.1,sag,l2,500,0.8786842105263157
15,0.1,sag,l2,1000,0.8786842105263157
16,0.25,lbfgs,l2,100,0.9507894736842105
17,0.25,lbfgs,l2,200,0.9507894736842105
18,0.25,lbfgs,l2,500,0.9507894736842105
19,0.25,lbfgs,l2,1000,0.9507894736842105
20,0.25,liblinear,l1,100,0.7268421052631578
21,0.25,liblinear,l1,200,0.7269736842105263
22,0.25,liblinear,l1,500,0.7269736842105263
23,0.25,liblinear,l1,1000,0.7269736842105263
24,0.25,liblinear,l2,100,0.9348684210526316
25,0.25,liblinear,l2,200,0.9348684210526316
26,0.25,liblinear,l2,500,0.9348684210526316
27,0.25,liblinear,l2,1000,0.9348684210526316
28,0.25,sag,l2,100,0.9526315789473684
29,0.25,sag,l2,200,0.9523684210526315
30,0.25,sag,l2,500,0.9518421052631579
31,0.25,sag,l2,1000,0.9518421052631579
32,1.0,lbfgs,l2,100,0.9955263157894737
33,1.0,lbfgs,l2,200,0.9955263157894737
34,1.0,lbfgs,l2,500,0.9955263157894737
35,1.0,lbfgs,l2,1000,0.9955263157894737
36,1.0,liblinear,l1,100,0.9131578947368421
37,1.0,liblinear,l1,200,0.9135526315789474
38,1.0,liblinear,l1,500,0.9130263157894737
39,1.0,liblinear,l1,1000,0.9131578947368421
40,1.0,liblinear,l2,100,0.9898684210526316
41,1.0,liblinear,l2,200,0.9898684210526316
42,1.0,liblinear,l2,500,0.9898684210526316
43,1.0,liblinear,l2,1000,0.9898684210526316
44,1.0,sag,l2,100,0.9936842105263158
45,1.0,sag,l2,200,0.9955263157894737
46,1.0,sag,l2,500,0.9956578947368421
47,1.0,sag,l2,1000,0.9956578947368421
