,C,loss,max_iter,tol,score
0,0.01,hinge,100,0.001,0.8639473684210527
1,0.01,hinge,100,0.0001,0.8639473684210527
2,0.01,hinge,100,1e-05,0.8639473684210527
3,0.01,hinge,250,0.001,0.8639473684210527
4,0.01,hinge,250,0.0001,0.8639473684210527
5,0.01,hinge,250,1e-05,0.8639473684210527
6,0.01,hinge,500,0.001,0.8639473684210527
7,0.01,hinge,500,0.0001,0.8639473684210527
8,0.01,hinge,500,1e-05,0.8639473684210527
9,0.01,hinge,1000,0.001,0.8639473684210527
10,0.01,hinge,1000,0.0001,0.8639473684210527
11,0.01,hinge,1000,1e-05,0.8639473684210527
12,0.01,hinge,5000,0.001,0.8639473684210527
13,0.01,hinge,5000,0.0001,0.8639473684210527
14,0.01,hinge,5000,1e-05,0.8639473684210527
15,0.01,squared_hinge,100,0.001,0.8973684210526316
16,0.01,squared_hinge,100,0.0001,0.8973684210526316
17,0.01,squared_hinge,100,1e-05,0.8973684210526316
18,0.01,squared_hinge,250,0.001,0.8973684210526316
19,0.01,squared_hinge,250,0.0001,0.8973684210526316
20,0.01,squared_hinge,250,1e-05,0.8973684210526316
21,0.01,squared_hinge,500,0.001,0.8973684210526316
22,0.01,squared_hinge,500,0.0001,0.8973684210526316
23,0.01,squared_hinge,500,1e-05,0.8973684210526316
24,0.01,squared_hinge,1000,0.001,0.8973684210526316
25,0.01,squared_hinge,1000,0.0001,0.8973684210526316
26,0.01,squared_hinge,1000,1e-05,0.8973684210526316
27,0.01,squared_hinge,5000,0.001,0.8973684210526316
28,0.01,squared_hinge,5000,0.0001,0.8973684210526316
29,0.01,squared_hinge,5000,1e-05,0.8973684210526316
30,0.1,hinge,100,0.001,0.9673684210526315
31,0.1,hinge,100,0.0001,0.9673684210526315
32,0.1,hinge,100,1e-05,0.9673684210526315
33,0.1,hinge,250,0.001,0.9673684210526315
34,0.1,hinge,250,0.0001,0.9673684210526315
35,0.1,hinge,250,1e-05,0.9673684210526315
36,0.1,hinge,500,0.001,0.9673684210526315
37,0.1,hinge,500,0.0001,0.9673684210526315
38,0.1,hinge,500,1e-05,0.9673684210526315
39,0.1,hinge,1000,0.001,0.9673684210526315
40,0.1,hinge,1000,0.0001,0.9673684210526315
41,0.1,hinge,1000,1e-05,0.9673684210526315
42,0.1,hinge,5000,0.001,0.9673684210526315
43,0.1,hinge,5000,0.0001,0.9673684210526315
44,0.1,hinge,5000,1e-05,0.9673684210526315
45,0.1,squared_hinge,100,0.001,0.9940789473684211
46,0.1,squared_hinge,100,0.0001,0.9940789473684211
47,0.1,squared_hinge,100,1e-05,0.9940789473684211
48,0.1,squared_hinge,250,0.001,0.9940789473684211
49,0.1,squared_hinge,250,0.0001,0.9940789473684211
50,0.1,squared_hinge,250,1e-05,0.9940789473684211
51,0.1,squared_hinge,500,0.001,0.9940789473684211
52,0.1,squared_hinge,500,0.0001,0.9940789473684211
53,0.1,squared_hinge,500,1e-05,0.9940789473684211
54,0.1,squared_hinge,1000,0.001,0.9940789473684211
55,0.1,squared_hinge,1000,0.0001,0.9940789473684211
56,0.1,squared_hinge,1000,1e-05,0.9940789473684211
57,0.1,squared_hinge,5000,0.001,0.9940789473684211
58,0.1,squared_hinge,5000,0.0001,0.9940789473684211
59,0.1,squared_hinge,5000,1e-05,0.9940789473684211
