,text,class
2737,"DjVu Libre An open-source implementation of the digital document format. Features stand-alone programs and libraries for simple compression, decompression, and viewing. Includes downloads, documentation, and screenshots. [GNU GPL] ",Data
6363,Navarasa Multimedia Shareware multimedia authoring tool for web and CD-ROM projects. Windows. ,Multimedia
6629,Mozilla Service Week A week-long event during which volunteers try to make a difference to better their communities by using their Internet talents. Volunteering opportunities. ,Open
9243,Javascript to Java Communication Workarounds Workaround for Javascript to Java communication for IE4 and IE5 Macintosh and automatic resizing of applets. ,Systems
7650,"Genmark Automation, Inc. Designs, develops and manufactures high-precision robotics, motion control and integrated tool automation solutions for the global semiconductor, data storage and flat panel display industries. ",Robotics
1396,The Tom Kyte Blog Personal weblog from Thomas Kyte. Oracle Corporation Vice President. ,Companies
309,"International Cognitive Computing CAMBO, a multi-Expert System Generator. Artificial Intelligence, Machine Learning, Natural Language Processing, Knowledge Normalization, Knowledge Engineering. This system uses natural language processing to extract Ã¢ÂÂnaturalÃ¢ÂÂ knowledge base representations from an entity to illustrate how an entity conducts business. Alarms can also be created in the monitor tool. Informatino only. ",Artificial
814,"String Provides nesting solutions for material optimization. Material types range from regular materials like metal and plastic to irregular materials like leather and wood, with quality matching and respect of direction constraints. Offers on-line nesting services. ",CAD
8737,Tactic Course authoring tool for instructional design with multimedia. ,Software
4437,"CatMar Design Themed web sets and stationery. Topics include nature, tulips, the beach, teddy bears, seasons, and all holidays. ",Graphics
5326,"Wagner Productions Offers design, flash, graphics, and multimedia services. ",Internet
3098,Netscape Extensions to HTML 3.0 Additional tags for Netscape for HTML version 3.0 are discussed. ,Data
3328,"XML Schema: Formal Description Formalization of a formal, declarative system for describing and naming XML Schema information, specifying XML instance type information, and validating instances against schemas. (W3C Working Draft, 25 September 2001) ",Data
4619,Now Disc CD duplication facility specializing in quick turn times as well as 5-color CD label silk screening. ,Hardware
4645,Ink Cottage Supplies remanufactured printer consumables. [UK based] ,Hardware
