,C,solver,penalty,max_iter,score
0,0.1,lbfgs,l2,100,0.9963002114164905
1,0.1,lbfgs,l2,200,0.9963002114164905
2,0.1,lbfgs,l2,500,0.9963002114164905
3,0.1,lbfgs,l2,1000,0.9963002114164905
4,0.1,liblinear,l1,100,0.9519027484143763
5,0.1,liblinear,l1,200,0.9519027484143763
6,0.1,liblinear,l1,500,0.9519027484143763
7,0.1,liblinear,l1,1000,0.9519027484143763
8,0.1,liblinear,l2,100,0.992952783650458
9,0.1,liblinear,l2,200,0.992952783650458
10,0.1,liblinear,l2,500,0.992952783650458
11,0.1,liblinear,l2,1000,0.992952783650458
12,0.1,sag,l2,100,0.9913671599718111
13,0.1,sag,l2,200,0.9952431289640592
14,0.1,sag,l2,500,0.9978858350951374
15,0.1,sag,,100,0.9915433403805497
16,0.1,sag,,200,0.9963002114164905
17,0.25,liblinear,l1,100,0.9760394644115574
18,0.25,liblinear,l1,200,0.9760394644115574
19,0.25,liblinear,l1,500,0.9760394644115574
20,0.25,liblinear,l1,1000,0.9760394644115574
21,0.25,sag,l2,100,0.9917195207892883
22,0.25,sag,l2,200,0.9963002114164905
23,0.25,sag,,100,0.9915433403805497
24,0.25,sag,,200,0.9963002114164905
25,1.0,sag,l2,100,0.9917195207892883
26,1.0,sag,l2,200,0.9963002114164905
27,1.0,sag,,100,0.9917195207892883
28,1.0,sag,,200,0.9963002114164905
29,5.0,sag,l2,100,0.9915433403805497
30,5.0,sag,l2,200,0.9963002114164905
31,5.0,sag,,100,0.9917195207892883
32,5.0,sag,,200,0.9964763918252291
33,10.0,sag,l2,100,0.9917195207892883
34,10.0,sag,l2,200,0.9963002114164905
35,10.0,sag,,100,0.9917195207892883
36,10.0,sag,,200,0.9963002114164905
37,20.0,sag,l2,100,0.9917195207892883
38,20.0,sag,l2,200,0.9963002114164905
39,20.0,sag,,100,0.9918957011980267
40,20.0,sag,,200,0.9963002114164905
