,C,loss,max_iter,tol,score
0,0.01,hinge,100,0.001,0.9848484848484849
1,0.01,hinge,100,0.0001,0.9848484848484849
2,0.01,hinge,100,1e-05,0.9848484848484849
3,0.01,hinge,250,0.001,0.9848484848484849
4,0.01,hinge,250,0.0001,0.9848484848484849
5,0.01,hinge,250,1e-05,0.9848484848484849
6,0.01,hinge,500,0.001,0.9848484848484849
7,0.01,hinge,500,0.0001,0.9848484848484849
8,0.01,hinge,500,1e-05,0.9848484848484849
9,0.01,hinge,1000,0.001,0.9848484848484849
10,0.01,hinge,1000,0.0001,0.9848484848484849
11,0.01,hinge,1000,1e-05,0.9848484848484849
12,0.01,hinge,5000,0.001,0.9848484848484849
13,0.01,hinge,5000,0.0001,0.9848484848484849
14,0.01,hinge,5000,1e-05,0.9848484848484849
15,0.01,squared_hinge,100,0.001,0.9950669485553206
16,0.01,squared_hinge,100,0.0001,0.9950669485553206
17,0.01,squared_hinge,100,1e-05,0.9950669485553206
18,0.01,squared_hinge,250,0.001,0.9950669485553206
19,0.01,squared_hinge,250,0.0001,0.9950669485553206
20,0.01,squared_hinge,250,1e-05,0.9950669485553206
21,0.01,squared_hinge,500,0.001,0.9950669485553206
22,0.01,squared_hinge,500,0.0001,0.9950669485553206
23,0.01,squared_hinge,500,1e-05,0.9950669485553206
24,0.01,squared_hinge,1000,0.001,0.9950669485553206
25,0.01,squared_hinge,1000,0.0001,0.9950669485553206
26,0.01,squared_hinge,1000,1e-05,0.9950669485553206
27,0.01,squared_hinge,5000,0.001,0.9950669485553206
28,0.01,squared_hinge,5000,0.0001,0.9950669485553206
29,0.01,squared_hinge,5000,1e-05,0.9950669485553206
30,50.0,hinge,5000,0.001,0.9756871035940803
31,50.0,hinge,5000,0.0001,0.9793868921775899
32,50.0,hinge,5000,1e-05,0.9721634954193094
33,50.0,squared_hinge,5000,0.001,0.9839675828047921
34,50.0,squared_hinge,5000,0.0001,0.9846723044397463
35,50.0,squared_hinge,5000,1e-05,0.9825581395348837
36,100.0,hinge,5000,0.001,0.9659971811134602
37,100.0,hinge,5000,0.0001,0.9651162790697675
38,100.0,hinge,5000,1e-05,0.9628259337561663
39,100.0,squared_hinge,5000,0.001,0.9744538407329105
40,100.0,squared_hinge,5000,0.0001,0.9732205778717407
41,100.0,squared_hinge,5000,1e-05,0.9744538407329105
