,text,class
520,"The Stability of the Fourth Order Runge-Kutta Method for the Solution of Systems of Differential Equations The problem of the region of stability of the fourth order-Runge-Kutta method for the solution of systems of differential equations is studied. This region can be characterized by means of linear transformation but can not be given in a closed form.  In the paper, this region is determined by the electronic digital computer Z22. ",cacm
4845,"experimental investigation of the downstream influence of stagnation point mass transfer . experimental investigation of the downstream influence of stagnation point mass transfer .  this report presents the results of an experimental investigation of the downstream influence of localized mass transfer in the stagnation region of a blunt body under hypersonic flow conditions . the coolant is injected through a porous plug coaxial with the centerline of symmetry of the model . the tests were carried out in a wind tunnel with a mach number of 6.0, stagnation temperatures of approximately 1,600 r., and a stagnation pressure of approximately 600 psia . four different gases were injected over a range of mass flows . the heat transfer on the impermeable section was measured under isothermal wall conditions,. for the higher rates of mass flow, adiabatic surface temperatures were also determined . the theoretical analysis of the boundary-layer flow is investigated in order to establish the similarity parameters for the flow system . these parameters permit the extrapolation of the test results to other flow conditions, provided that laminar flow prevails . helium is found to be the most efficacious coolant . ",cran
4846,"effects of free stream vorticity on the behaviour of a viscous boundary layer . effects of free stream vorticity on the behaviour of a viscous boundary layer .  theoretical investigation is considered of the two-dimensional steady flow field at large distance from a finite object set in a viscous incompressible fluid . study is made of coordinate-type expansions for pressure and velocity for large r, uniformly in, for fixed reynolds number, assuming exact boundary conditions at infinity and regularity of flow with zero net mass flow across a simple curve enclosing the object .  mathematical nature of the distinction between parameter and coordinate-type expansions is discussed with description of inner and outer expansions and matching techniques .  a feature of the expansion procedure is the introduction of an artificial parameter . inner and outer expansions are matched with the aid of known solutions of the navier-stokes equations . analysis requires simple consideration of the heat and laplace equations without resort to special methods .  paper is worth studying by those interested in asymptotic expansion procedures . ",cran
891,Normdey (Algorithm 121 [G5]) ,cacm
90,FACTORS (Algorithm 75) ,cacm
346,INVRS (Algorithm 66) ,cacm
3219,"The Evaluation of Published Indexes and Abstract Journals:    Criteria and Possible Procedures   This paper describes possible criteria by which the effectiveness of a published index may be evaluated and suggest procedures that might be used to conduct an evaluation of a published index.. The procedures were developed for the National Library of Medicine and relate specifically to the recurring bibliographies produced by MEDLARS in various specialized areas of biomedicine.. The methods described should, however, be applicable to other printed indexes and abstract journals..   Factors affecting the performance of a published index are also discussed and some research projects relevant to the evaluation of published indexes are reviewed.. ",cisi
4378,"On Aggression  In this book, Lorenz deals with the evolution of aggression in vertebrates. He points out that aggressivity is totally different from predation: that it is a biological necessity for defence of territory and for a cornered animal, and that it becomes mixed up with other innate drives, thus leading up towards reduction of intraspecific damage. This, be it noted, is most evident in fiercer social predators like wolves, where escape from the pack is virtually impossible and where co-operation without fighting is necessary for survival; whereas in the non-social but proverbially peaceful dove prevention of escape leads to violent and often fatal attacks on the weaker mate.  In a final chapter he advances some suggestion as to how in the human species, where evolution is primarily cultural, and not guided by Darwinian selection in the strict sense, the aggressive drive may be canalized into less dangerous channels. Man has innumerable ways of adaptively ritualizing his behavior, many of them analogous, if not homologous, to those found in animals. In any event, On Aggression is a fascinating book by a master of his subject. ",cisi
6885,"946. respiration in hypothermia. i. respiratory pattern and acid-base balance in the blood mongrel dogs, under light pentobarbital anesthesia, were made hypothermic by im- mersing them in ice water and then normothermic in warm water. in the course of cooling, the respiratory rate and pulmonary ventilation, after an initial increase, were reduced as the rectal temperature fell, and spontaneous respiration was ar- rested at rectal temperatures of 21-25 c. alveolar pco2 was increased, after an initial slight lowering, with the progress of hypothermia. arterial ph and standard bicarbonate (jorgensen and astrup) decreased, and the alkalinity of the blood coh/ ch (winterstein) decreased markedly during hypothermia. these findings suggest both respiratory and metabolic acidosis as the mechanisms concerned. in the course of rewarming all these changes disappeared rapidly and completely though the venti- latory stimulation observed as an initial transitory phenomenon during cooling failed to occur. ",med
6527,"neonatal hepatitis: liver biopsy findings and clinical features. on 22 infants with a clinical diagnosis of neonatal hepatitis, histologic examination of the liver was made by needle biopsy and its relation to the clinical course was investigated. histologic findings were classified provisionally into 3 types: type i showed no giant cells but only slight damage to hepatic cells with prominent intracellular cholestasis; type ii was characterized by occurrence of numerous giant cells; the specific type was characterized by centrolobular cholestasis without inflammatory reaction. laboratory examinations revealed that increases in serum transaminases and bilirubin were greater in type ii than in type i, and in the specific type there was no increase in serum transaminase but there was a direct hyperbilirubinemia. as to histologic sequelae, the results of serial biopsy revealed that in type i hepatic damage healed almost completely, and that in type ii giant cells disappeared within 1 yr and, in some cases, hepatic cirrhosis resulted. the prognosis of neonatal hepatitis may be said to be good in type i, poor in type ii, and undetermined in the specific type. ",med
624,Chebyschev Curve-Fit (revised) (Algorithm 318 [E2]) ,cacm
440,Fresnel Integrals (Algorithm 213 [S20]) ,cacm
4962,"heat transfer to bodies traveling at high speed in the upper atmosphere . heat transfer to bodies traveling at high speed in the upper atmosphere . a general method has been developed, using the methods of kinetic theory, whereby the surface temperatures of bodies can be calculated for steady flight at any speed in a rarefied gas . the particular solution was made for a flat plate., however, the calculations can be easily extended to bodies of arbitrary shape . it was found that the aerodynamic heating problem in the absence of solar radiation, that is, for the case of nocturnal flight, becomes of negligible importance at altitudes of 125 miles and higher and up to steady flight speeds of 36,000 feet per second . the effect of solar radiation, for the case of daytime flight, becomes increasingly important as the flight altitude is increased . at an altitude of 150 miles and higher, solar radiation is the predominating factor that determines skin temperature . owing to the strong effect of solar radiation on skin temperatures at high altitudes, the desirability of nocturnal flight is indicated in order to minimize skin temperatures . in order to maintain low skin temperatures, it was found that the angle of inclination of the body with respect to the flight path should be kept as small as possible . this may be accomplished in practice by designing the body to be finely tapered and by flying the body at small angles of attack . it is pointed out that skin temperatures may be reduced by insuring thermal contact between portions of the skin inclined at positive and negative angles with respect to the flight path . as much surface as possible should be inclined at negative angles . practically, this may be accomplished by boattailing the body . in the event that an internal skin-cooling system is employed, it is shown that the rate of internal cooling must be of the same order of magnitude or greater than the rate at which heat is lost naturally by emitted radiation . if the cooling rate is below the natural radiation rate, cooling has little effect upon skin temperatures . it is shown that, in the case of a missile designed to fly over a wide range of altitudes and speeds, it is desirable to make the emissivity of the skin as high as possible . this conclusion, however, is based upon a skin surface for which the emissivity is independent of the wave length of the emitted and absorbed radiant energy . a possible method of reducing surface temperatures is indicated by the decrease in skin temperature which accompanies a decrease in thermal accommodation coefficient . this phenomenon may be used to advantage if it is possible to decrease the accommodation coefficient by altering the surface characteristics of the skin . ",cran
1499,"The UNIX Time-Sharing system UNIX is a general-purpose, multi-user, interactive operating system for the Digital Equipment Corporation PDP-11/40 and 11/45 computers. It offers a number of features seldom found even in larger operating systems, including: (1) a hierarchical file system incorporating demountable volumes; (2) compatible file, device, and inter-process I/O; (3) the ability to initiate asynchronous processes; (4) system command language selectable on a per-user basis; and (5) over 100 subsystems including a dozen languages.This paper discusses the nature and implementation of the file system and of the user command interface. ",cacm
3155,Petri Nets and Speed Independent design Petri nets are investigated as one method of modeling speed independent asynchronous circuits.  A study of circuit realizations of Petri nets leads to a demonstration of their usefulness in modeling speed independent operation. This usefulness is emphasized by the design of a speed independent processor from modules developed in the investigation of Petri net implementation. ,cacm
522,Complex Error Function (Algorithm C363) ,cacm
4854,"simplified analysis of general instability of stiffened shells in pure bending . simplified analysis of general instability of stiffened shells in pure bending .  although much work has been done to develop a theory for the failure of shells by general instability, there is at present no simple method by which the size of the frames may be determined for any given diameter, bending moment,.and frame spacing . such a method is needed in determining the optimum design for stiffened shells, to be used as a basis for weight analysis of fuselages, and other shell structures . in an extension of the work done for the rand corporation, a simple coefficient has been determined for this purpose . since it appears that this method may also be useful in design calculations, a brief description is presented below . ",cran
4146,"Work Study in Libraries   A brief review of the principal work study techniques is given.. It is suggested that these techniques are applicable to libraries and librarians and will become increasingly useful as the problems of increased work loads become more severe.. Data concerning standard times and performances would be useful for system design and planning, providing such data is put in its proper context and particularly if it is used to improve effectiveness as well as efficiency.. ",cisi
